"ID_PLANET_VEC","ID_EMISSION","ID_GAS_TYPE","ID_SCOPE","ID_WATER_SOURCE","ID_STRESS_CATEGORY","ID_USE_TYPE","ID_BIODIV_CAT","ID_PROT_AREA_CAT","ID_LEGAL_REL","ID_ORIENTATION"
"8EF0BC6D1476BEFC5DF5BF8FC0665E7AFF1959B79DA94A09D0B98BFF7E502AC8","4","1","2",,,,,,,
"2F8CF0C0E4E2E2FCFD37C3039B828626ED84B81EC144AC698748A916606C2CB1",,,,"SOURCE_01","STRESS_CAT_05","W",,,,
"DF44D92107B35A7AFCDF13DB3B2DB62F05B4499CA4FF35480EBFF79F2B2AF66D",,,,"SOURCE_02","STRESS_CAT_02","C",,,,
"F10B0D6969F206D621540FA0B0E79344D13FE37ACA302D14CF0A62721CA073A6",,,,,,,"1","4","1","1"
"FFBB4D474E801BDA2543D9587A10B1E305211C9EC33953F1B944CED5BA6C6AC6",,,,,,,"1","4","3","1"
"B0EF8DCB622BE73AD76626DA0386178534BBC16C838DE38A7C5BA77C8C9F4505",,,,"SOURCE_03","STRESS_CAT_01","W",,,,
"3FC9F8F51D5C20007D67C12B542FDFADB0AC800E02FE012ECCB64E9063DBFCC8",,,,"SOURCE_04","STRESS_CAT_04","C",,,,
"0D2FD3C114BE9B76668B3A544EE1B5A7ED35DDA76627C8051F74402D97E39D64",,,,"SOURCE_01","STRESS_CAT_03","C",,,,
"FDCF2CD6C0BA6726432A3BBFC094023E540EEEFBBC6150FCF9400754C03F6AAF","7","1","2",,,,,,,
"578BC4AAA68A16CEE2C2D59B492A74B919C5619AD97D0CDFACE1C5AC1F3CCA27",,,,,,,"1","4","2","2"
"AA6AD0876BD78EE704860A5E5F5B57829C6AFE8DD75057F4FFD2806F045C9972",,,,"SOURCE_03","STRESS_CAT_05","C",,,,
"CCC370190B01D50A793B8FB831E3E8A8BFB58D37A36C211395BF54FC1D94E4E4",,,,"SOURCE_02","STRESS_CAT_04","W",,,,
"D798E92C625AF8B51DF84183B7996A56FF76BBB60196AFA8A2ADC8FD2943D73D",,,,,,,"1","6","1","2"
"311A8285AC08302A4075EDD1145B677F7EF03F8C55E983562B6A89058C189266",,,,,,,"1","2","1","2"
"3E542B30B1951FF98216C77B112B36CB15ABA61E22A33D5ACF432583F517F60E",,,,"SOURCE_03","STRESS_CAT_04","W",,,,
"5907801D15AF0B7E997C301B9A39566D8598F3931A7BDDC21C8CD577B120A184",,,,,,,"2",,"1","1"
"81DD24A4E4A2D7F82B57B6F5D52F15B677BD830B9CB526750A8142F2CFCA04EB",,,,"SOURCE_02","STRESS_CAT_03","C",,,,
"ABDBBBFE9404B20F88BD036DD4190E400D5749D135CCB692251D971B2D1265B9",,,,,,,"2",,"2","2"
"152242F9E75AAAB1965F48C1F551925B146B06AAFFBAFB5016DEAA6E763428FC",,,,,,,"1","6","3","2"
"EB7B129540383B28D34C3F9B2D60512CFB9696D766ED76FA3A284BF0DD8A6B4A",,,,,,,"2",,"3","1"
"844193D0708F44E7A5219824322881DC3799DADD2ABC5BA0805EB657ECED7829",,,,"SOURCE_03","STRESS_CAT_02","C",,,,
"8650CC2F877DB3726F82A78155902529FE97F7F450F8738C8A7D2FFD6E65C536",,,,,,,"1","3","2","2"
"1AE24DAD4B10B7DD3F04A01027FCB35C3694012A42ADE2D1B07E8E716777BAA7",,,,"SOURCE_04","STRESS_CAT_05","C",,,,
"3D7C43076E56C21896E020287919316333AA192DA0CF424725F41D021D51818F",,,,,,,"1","7","2","2"
"CB2251BC2A0E0989BECA43EC52058ABD6FC2514E696F476FCDA5EB4DA6D5F847",,,,,,,"1","3","3","1"
"B383BBC683CDD1737AED7053D8B34BA3DA3D3610C209229A487069C8DC7C5312",,,,"SOURCE_04","STRESS_CAT_01","W",,,,
"ADF68F02BD113C4AB7163DD9E90F268B5C67C01A838A6A72FF2CC11A271F53AF",,,,,,,"1","3","1","1"
"A16497341F92F193FFA0A207DECE8CFEC80AD45A2DAF7FEE3EDE9E831F9C109F",,,,"SOURCE_01","STRESS_CAT_02","W",,,,
"D6F16B4B97AA0B33DDA85E397007FD2F0DF9F8D9C5EA9B620A275B84E9836382",,,,"SOURCE_02","STRESS_CAT_05","W",,,,
"07F5CA6503429B3179D3D0C45A9375D8BF98C4765794334D16F2852E00A18C4F",,,,,,,"2",,,"2"
"1BE36C1890A05CC3640AFD2DD9D800E2137EDBE69B0A414C4F99ACD2E56FC817",,,,,,,"1","7","3","1"
"7BA0673F4C10EE53D37636824676ADAC6D2883E718A7B9F02958C48F0CC32AC1",,,,,,,"1","7","1","1"
"B1E2EDCB6BA451834A71C1C1327B10C1C666DD66914A0482AE400FFC9F9F8A20","1","1","1",,,,,,,
"60B5EDB8574F973E56998A34A60365F731D47468ADE36FCF4C0DC197A03333F6","3","1","1",,,,,,,
